index,iso3_o,iso3_d,tradeflow,year,gdp_o,gdp_d,dist,tradevalue
1277,BGD,CZE,1,2015,195078553.6,185156354.048,7040.0,21995.159633644274
1278,BGD,CZE,2,1998,44091752.448,66372661.248,7040.0,291.1170024871826
1279,BGD,CZE,2,2000,47124926.464,61474267.136,7040.0,1011.5910189524293
1280,BGD,CZE,2,2001,46987841.536,67375681.536,7040.0,1717.9800379872318
1281,BGD,CZE,2,2002,47571128.32,81696694.272,7040.0,1593.3190037012105
1282,BGD,CZE,2,2003,51913662.464,99300327.424,7040.0,2754.227013986558
1283,BGD,CZE,2,2004,56560742.4,118976258.048,7040.0,3162.1229720925908
1284,BGD,CZE,2,2005,60277559.296,135990124.544,7040.0,7222.982033610344
1285,BGD,CZE,2,2006,71819091.968,155213119.488,7040.0,12870.21605641942
1286,BGD,CZE,2,2007,79611887.616,188818472.96,7040.0,14950.692383572457
1287,BGD,CZE,2,2008,91631280.128,235205279.744,7040.0,21373.059556484222
1288,BGD,CZE,2,2009,102477791.232,205729792.0,7040.0,17632.58908712864
1289,BGD,CZE,2,2010,115279077.376,207016394.752,7040.0,23705.99020043015
1290,BGD,CZE,2,2011,128637935.616,227307241.472,7040.0,53044.26351787895
1291,BGD,CZE,2,2012,133355741.184,206751367.168,7040.0,67905.44798315316
1292,BGD,CZE,2,2013,149990457.344,208796024.832,7040.0,71686.84169517457
1293,BGD,CZE,2,2015,195078553.6,185156354.048,7040.0,209012.39557323605
1294,BGD,DEU,1,1998,44091752.448,0.0,0.0,3970.864909827709
1295,BGD,DEU,1,1998,44091752.448,2239913263.104,7084.0,177876.37208211422
1296,BGD,DEU,1,2000,47124926.464,0.0,0.0,163281.4681616251
1297,BGD,DEU,1,2000,47124926.464,1947208384.512,7084.0,3.533999990671873
1298,BGD,DEU,1,2001,46987841.536,0.0,0.0,186195.14680224028
1299,BGD,DEU,1,2002,47571128.32,0.0,0.0,496.9610052403295
1300,BGD,DEU,1,2002,47571128.32,2076303425.536,7084.0,181339.94638187555
1301,BGD,DEU,1,2003,51913662.464,0.0,0.0,231457.9686678599
1302,BGD,DEU,1,2004,56560742.4,2815593021.44,7084.0,278063.0100333515
1303,BGD,DEU,1,2005,60277559.296,0.0,0.0,82.60900115966797
1304,BGD,DEU,1,2005,60277559.296,2857558605.824,7084.0,389037.14860825613
1305,BGD,DEU,1,2006,71819091.968,2998466510.848,7084.0,425937.1811853831
1306,BGD,DEU,1,2007,79611887.616,0.0,0.0,345051.7086935716
1307,BGD,DEU,1,2007,79611887.616,3435506696.192,7084.0,587.0340029299259
1308,BGD,DEU,1,2008,91631280.128,0.0,0.0,1377.993981085718
1309,BGD,DEU,1,2008,91631280.128,3747055403.008,7084.0,604731.2380362318
1310,BGD,DEU,1,2009,102477791.232,0.0,0.0,410277.75093113724
1311,BGD,DEU,1,2009,102477791.232,3412770160.64,7084.0,11417.96498280764
1312,BGD,DEU,1,2010,115279077.376,0.0,0.0,509753.5023807358
1313,BGD,DEU,1,2011,128637935.616,0.0,0.0,174059.9240715392
1314,BGD,DEU,1,2011,128637935.616,3752110063.616,7084.0,564051.2947710964
